NO,UPT,X,GARDU INDUK,JADWAL RENCANA,REALISASI,STATUS,JENIS ANOMALI,Status FIX,,,,
140,UPT BEKASI,BEKASI,GI 150KV MARGAKARYA,6/30/2026,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
141,UPT BEKASI,BEKASI,GITET 500KV CIBATU,6/30/2026,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
142,UPT BEKASI,BEKASI,GI 150KV CIBATU,6/30/2026,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
143,UPT BEKASI,BEKASI,GI 150KV CIBATU,6/30/2026,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
144,UPT BEKASI,BEKASI,GI 150KV HANKOOK,6/30/2026,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
145,UPT BEKASI,BEKASI,GI 150KV HANKOOK,6/30/2026,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
146,UPT BEKASI,BEKASI,GI 150KV HANKOOK,,,Fair,TS - AHI pada aset kritikal kategori Good,Open,,,,
147,UPT BEKASI,BEKASI,GI 150KV HANKOOK,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
148,UPT BEKASI,BEKASI,GI 150KV JABABEKA,,,Poor,TS - AHI pada aset kritikal kategori Good,Open,,,,
149,UPT BEKASI,BEKASI,GI 150KV JABABEKA,,,Fair,TS - AHI pada aset kritikal kategori Good,Open,,,,
150,UPT BEKASI,BEKASI,GISTET 500KV NEW TAMBUN,3/31/2026,3/31/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
151,UPT BEKASI,BEKASI,GISTET 500KV NEW TAMBUN,4/30/2026,4/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
152,UPT BEKASI,BEKASI,GIS 150KV NEW TAMBUN,4/30/2026,4/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
153,UPT BEKASI,BEKASI,GIS 150KV NEW TAMBUN,4/30/2026,4/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
